state,length,q
CT,6,.00013016921
CT,7,.00010503708
CT,8,.00014110995
CT,9,.00019593665
CT,10,.0018437241
CT,11,.0039850813
CT,12,.010550359
CT,13,.011245456
CT,14,.011858333
CT,15,.0066863932
CT,16,.014062472
CT,17,.019102151
CT,18,.014628947
CT,19,.0081281662
CT,20,.011833026
CT,21,.018419174
CT,22,.0091168871
CT,23,.006379406
CT,24,.007891261
CT,25,.0059076892
CT,26,.0044496269
CT,27,.0041787848
CT,28,.0009741364
CT,29,.0039427187
CT,30,.0038396702
CT,32,.00018134035
DE,6,.009549913
DE,7,.0013529818
DE,8,.0011674294
DE,9,.0014791959
DE,10,.0076255319
DE,11,.013810015
DE,12,.012188364
DE,13,.006639739
DE,14,.0048558009
DE,15,.0025329588
DE,16,.0021095865
DE,17,.003761038
DE,18,.0060248985
DE,19,.0042235698
DE,20,.0035153686
DE,21,.0023423433
DE,22,.0019058698
DE,23,.00041855095
DE,24,.00039303509
DE,25,.00054235756
DE,26,.0001402224
DE,27,0
DE,28,5.0333151e-06
DE,29,0
DE,30,.005607083
MA,6,.000035464021
MA,7,.000035298988
MA,8,.000047407921
MA,9,.000065954191
MA,10,.00062246533
MA,11,.0013489631
MA,12,.0035716998
MA,13,.0037898554
MA,14,.0039944206
MA,15,.0022450397
MA,16,.0047033336
MA,17,.0042187483
MA,18,.0032231966
MA,19,.0011799044
MA,20,.0017171062
MA,21,.0026827534
MA,22,.0013324203
MA,23,.00093345653
MA,24,.0011557152
MA,25,.00086500298
MA,26,.00065059733
MA,27,.00060980924
MA,28,.00014215245
MA,29,.00057601003
MA,30,.00055994419
MA,32,.000026445101
MD,6,.014156361
MD,7,.0020134109
MD,8,.0017388097
MD,9,.0021904458
MD,10,.011190942
MD,11,.020105075
MD,12,.017737366
MD,13,.0097947419
MD,14,.0071740993
MD,15,.0037788046
MD,16,.0031842107
MD,17,.0031117229
MD,18,.0050207083
MD,19,.0035156491
MD,20,.0029295022
MD,21,.001930521
MD,22,.0015548285
MD,23,.00034027983
MD,24,.00031870813
MD,25,.00044010612
MD,26,.0001142913
MD,27,0
MD,28,4.1271842e-06
MD,29,0
MD,30,.0046071713
NC,6,.00043277253
NC,7,.000061479797
NC,8,.000053127111
NC,9,.0000666571
NC,10,.00033839466
NC,11,.00060445489
NC,12,.0005331104
NC,13,.00029724228
NC,14,.00021794967
NC,15,.00011557998
NC,16,.000098175413
NC,17,.000074938573
NC,18,.00012149681
NC,19,.000085013889
NC,20,.000070895563
NC,21,.000046376106
NC,22,.000037092614
NC,23,8.0988557e-06
NC,24,7.5720714e-06
NC,25,.00001046147
NC,26,2.7252179e-06
NC,27,0
NC,28,9.8817715e-08
NC,29,0
NC,30,.00011046848
NJ,6,.010348844
NJ,7,.00059449137
NJ,8,.0018738233
NJ,9,.0051953616
NJ,10,.059228852
NJ,11,.15272552
NJ,12,.31863785
NJ,13,.23752117
NJ,14,.19838664
NJ,15,.10613474
NJ,16,.18003079
NJ,17,.16465026
NJ,18,.18396224
NJ,19,.09110371
NJ,20,.05794628
NJ,21,.065464407
NJ,22,.030569768
NJ,23,.025037514
NJ,24,.02577759
NJ,25,.017255738
NJ,26,.0072187777
NJ,27,.00025649933
NJ,28,.0011186511
NJ,29,.010205275
NJ,30,.073602006
NJ,31,.073602006
NJ,32,.44161204
NY,6,.00090706797
NY,7,.00082826731
NY,8,.0011132746
NY,9,.0015407339
NY,10,.014423434
NY,11,.031031372
NY,12,.082135499
NY,13,.088232279
NY,14,.093122713
NY,15,.052799378
NY,16,.11178192
NY,17,.15226245
NY,18,.11707847
NY,19,.023221573
NY,20,.033828028
NY,21,.052331299
NY,22,.025753427
NY,23,.01798551
NY,24,.022215374
NY,25,.016637983
NY,26,.012563425
NY,27,.011838674
NY,28,.0027598264
NY,29,.011148609
NY,30,.010890985
NY,32,.00051436055
RI,6,.00011814747
RI,7,.00010567498
RI,8,.00014214175
RI,9,.00019576683
RI,10,.0018186594
RI,11,.003885644
RI,12,.010281244
RI,13,.011174494
RI,14,.011809194
RI,15,.0067504598
RI,16,.014429222
RI,17,.019732531
RI,18,.015260023
RI,19,.0036886218
RI,20,.0053782789
RI,21,.008246881
RI,22,.0040247464
RI,23,.0028027382
RI,24,.0034544165
RI,25,.0025886942
RI,26,.0019619542
RI,27,.0018578536
RI,28,.00043311645
RI,29,.0017447253
RI,30,.001712075
RI,32,.000080858059
VA,6,.030490119
VA,7,.0043177586
VA,8,.0037298503
VA,9,.0046905316
VA,10,.023899199
VA,11,.042833697
VA,12,.037787944
VA,13,.020955127
VA,14,.01535498
VA,15,.0081113391
VA,16,.0068586003
VA,17,.008414479
VA,18,.0136035
VA,19,.009521679
VA,20,.0079360344
VA,21,.0052126809
VA,22,.0041853637
VA,23,.0009148994
VA,24,.00085612782
VA,25,.0011824992
VA,26,.00030742571
VA,27,0
VA,28,.000011120263
VA,29,0
VA,30,.012419726
